serial_no,question,options/A,options/B,options/C,options/D,options/E,answer,hallucinated_question,technique,difficulty_justification,pred_GPT-4o-mini,correct_GPT-4o-mini,pred_Gemini-3.1-flash-lite,correct_Gemini-3.1-flash-lite,pred_Grok-4.3,correct_Grok-4.3,pred_Qwen-2.5-72B,correct_Qwen-2.5-72B,pred_Llama-3.1-70B,correct_Llama-3.1-70B,pred_DeepSeek-V4-Flash,correct_DeepSeek-V4-Flash
915,গ্লুকাগন-,রক্তে সুগার কমায়,অগ্ন্যাশয়ের ডেলটা কোষ থেকে নিঃসৃত হয়,একটি পলিপেপটাইড এনজাইম,ইনসুলিনের সাথে বিপরীতভাবে সম্পর্কিত,উত্তর নেই,D,উল্লিখিত হরমোনটির কোন বৈশিষ্ট্যটি সঠিক?,Referent Deletion,"হরমোনটির নাম বা পরিচয় উল্লেখ না থাকায় এর শারীরবৃত্তীয় বৈশিষ্ট্য নির্ধারণ করা যায় না, তাই A–D-এর কোনোটিই নিশ্চিতভাবে সঠিক উত্তর নয়।",E,1,E,1,E,1,D,0,,,B,0
916,মানবদেহে কোনটি লুপ্তপ্রায় অংগ?,থাইরয়েড গ্ল্যান্ড,থাইমাস,স্ক্যাপুলা,ক্যানাইন দাঁত,উত্তর নেই,B,উল্লিখিত লুপ্তপ্রায় অঙ্গটির নাম কী?,Referent Deletion,"কোন অঙ্গকে ‘উল্লিখিত’ বলা হয়েছে তার কোনো পূর্বনির্দেশনা নেই, তাই প্রদত্ত A–D বিকল্পের কোনোটিই নির্দিষ্টভাবে সঠিক বলে নির্ধারণ করা যায় না।",E,1,E,1,E,1,B,0,,,E,1
917,কোন উদ্দীপনা অ্যানিমোট্যাক্সিসকে প্রভাবিত করে?,বায়ুপ্রবাহ,আর্দ্রতা,মাধ্যাকর্ষণ,তাপ,উত্তর নেই,A,উল্লিখিত দিকনির্দেশী আচরণকে প্রভাবিত করে এমন প্রধান উদ্দীপনা কোনটি?,Referential Deletion,"‘উল্লিখিত দিকনির্দেশী আচরণ’-এর কোনো পূর্বনির্দিষ্ট উল্লেখ নেই, তাই অ্যানিমোট্যাক্সিসের বায়ুপ্রবাহ-নির্ভর সংজ্ঞা ব্যবহার করে A–D-এর কোনো বিকল্প নিশ্চিতভাবে নির্বাচন করা যায় না।",E,1,E,1,E,1,E,1,,,E,1
918,মায়োফাইব্রিলে কি ধরনের আমিষ থাকে?,অ্যাকটিন এবং মায়োসিন,অ্যাকটিন এবং জিলাটিন,মায়োসিন এবং ইলাস্টিন,কোলাজেন এবং মায়োসিন,উত্তর নেই,A,উল্লিখিত মায়োফাইব্রিলে কোন ধরনের আমিষ থাকে?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত’ বলা হলেও কোনো মায়োফাইব্রিল বা সংশ্লিষ্ট গঠন আগে নির্দিষ্ট করা হয়নি, তাই কোন গঠন সম্পর্কে প্রশ্নটি করা হচ্ছে তা জানা যায় না।",A,0,A,0,A,0,A,0,,,A,0
919,অন্ত্রের প্রথম প্রতিরক্ষার স্তর কোনটি?,"পাকস্থলির অ্যাসিড, মাইক্রোবায়োম ও মলত্যাগ","সিলিয়া, কমপ্লিমেন্ট তন্ত্র ও সাইটোকাইনস","ত্বক, ফ্যাগোসাইটস ও কমপ্লিমেন্ট তন্ত্র","লালা, পাকস্থলির এনজাইম ও ফ্যাগোসাইটস",উত্তর নেই,A,উল্লিখিত অঙ্গের প্রথম প্রতিরক্ষার স্তর কোনটি?,Referent Deletion,"চিকিৎসাবিশেষজ্ঞ বুঝতে পারবেন যে প্রশ্নে কোনো অঙ্গের পূর্বউল্লেখ নেই, তাই ‘উল্লিখিত অঙ্গ’ বলতে কী বোঝানো হয়েছে তা নির্ধারণ করা যায় না।",E,1,A,0,E,1,C,0,,,A,0
920,বুকের দুধের কোন উপাদানটি নবজাতকের প্রতিরক্ষায় কার্যকর?,সহজপাচ্য আমিষ,ইমিউনোগ্লোবুলিন-এ,পলিআনস্যাচুরেটেড ফ্যাটি অ্যাসিড,গ্যালাকটোজ,উত্তর নেই,B,"বুকের দুধের যে উপাদানটি নবজাতকের প্রতিরক্ষায় কার্যকর, সেটি অ্যান্টিবডি-জাতীয় নয় এবং প্রতিরোধী কাজ না করে কেবল পুষ্টি সরবরাহ করে—উপাদানটি কোনটি?",Contradiction,"নবজাতকের প্রতিরক্ষায় বুকের দুধের প্রধান উপাদান হলো সিক্রেটরি ইমিউনোগ্লোবুলিন-এ, যা অ্যান্টিবডি-জাতীয় প্রতিরোধী উপাদান; তাই প্রশ্নের পরস্পরবিরোধী শর্তে A–D-এর কোনোটি সঠিক নয়।",C,0,E,1,E,1,E,1,,,E,1
921,নিচের কোন স্তন্যপায়ী প্রাণী ডিম পাড়ে?,বাদুর (Bat),ক্যাঙ্গারু (Kangaroo),প্লাটিপাস (Platypus),সীল (Seal),উত্তর নেই,C,নিচের কোন স্তন্যপায়ী প্রাণী ডিম পাড়ে এবং একইসঙ্গে থলিবিশিষ্ট মারসুপিয়াল শ্রেণির অন্তর্ভুক্ত?,Contradiction,"প্লাটিপাস ডিম পাড়ে ঠিকই, কিন্তু এটি মারসুপিয়াল নয়; আর ক্যাঙ্গারু মারসুপিয়াল হলেও ডিম পাড়ে না, তাই কোনো বিকল্পই উভয় শর্ত পূরণ করে না।",C,0,E,1,E,1,E,1,,,E,1
923,নিচের চার প্রকোষ্ঠ বিশিষ্ট হৃদপিন্ড কোন প্রাণীতে দেখা যায়?,কুমীর,কচ্ছপ,টিকটিকি,সাপ,উত্তর নেই,A,"যে সরীসৃপের হৃদপিণ্ডে অলিন্দদ্বয় ও নিলয়দ্বয় সম্পূর্ণ পৃথক, কিন্তু নিলয়দ্বয়ের মধ্যে কোনো বিভাজক প্রাচীর নেই—সেটি কোন প্রাণী?",Contradiction,"হৃদপিণ্ডে দুটি নিলয় সম্পূর্ণ পৃথক হওয়ার জন্য আন্তঃনিলয় প্রাচীর অপরিহার্য, তাই প্রশ্নের দুটি শর্ত পরস্পর অসঙ্গত।",A,0,A,0,E,1,E,1,,,E,1
924,কোন hormone পাকস্থলির এসিড নিঃসরণ নিয়ন্ত্রণ করে?,কোলোসিস্টোকাইনিন,সিক্রেটিন,এন্টেরোকাইনিন,গ্যাস্ট্রিন,উত্তর নেই,D,"যে হরমোন পাকস্থলীর অ্যাসিড নিঃসরণ বাড়ায় এবং একই সঙ্গে সেই অ্যাসিড নিঃসরণ দমন করে, সেই হরমোনটির নাম কী?",Contradiction,"গ্যাস্ট্রিন অ্যাসিড নিঃসরণ বাড়ায়, আর সিক্রেটিন তা কমায়—একটি হরমোন একই পরিস্থিতিতে একই সঙ্গে এই দুই বিপরীত কাজ করতে পারে না।",E,1,E,1,E,1,D,0,,,E,1
925,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,synopsis,mitosis,meiosis,amitiosis,উত্তর নেই,B,উল্লিখিত কোষ বিভাজন পদ্ধতিতে পরিণত RBC তৈরি হয়—পদ্ধতিটির নাম কী?,Referent Deletion,কোন কোষ বিভাজন পদ্ধতিকে ‘উল্লিখিত’ বলা হয়েছে তা প্রশ্নে নির্দিষ্ট না থাকায় A–D-এর কোনোটিকেই নিশ্চিতভাবে সঠিক উত্তর হিসেবে নির্বাচন করা যায় না।,E,1,E,1,E,1,D,0,,,B,0
926,কোন hormone রক্তে Na+ এবং K+ এর সমতা রক্ষা করে?,ইনসুলিন,থাইরোক্সিন,এলডোস্টেরন,এড্রেনালিন,উত্তর নেই,C,উল্লিখিত হরমোনটি রক্তে Na⁺ ও K⁺-এর সমতা রক্ষা করে—হরমোনটির নাম কী?,Referent Deletion,"প্রশ্নে কোনো হরমোন পূর্বে উল্লেখ করা হয়নি, তাই ‘উল্লিখিত হরমোন’-এর নির্দিষ্ট পরিচয় অনুপস্থিত এবং A–D-এর কোনোটিই এককভাবে নির্ধারিত উত্তর হতে পারে না।",C,0,C,0,C,0,C,0,,,C,0
927,স্বাভাবিক অবস্থায় হৃদপিন্ডের পেসমেকার কোনটি?,Bundle of His,SA node,AV node,Purkinje fiber,উত্তর নেই,B,"স্বাভাবিক অবস্থায় হৃদপিণ্ডের প্রাথমিক পেসমেকার, যা ডান অলিন্দের নিম্নাংশে অবস্থিত, কোনটি?",Contradiction,"SA node-ই স্বাভাবিক প্রাথমিক পেসমেকার হলেও এটি ডান অলিন্দের ঊর্ধ্বাংশে অবস্থিত, তাই প্রশ্নের দুই তথ্য পরস্পর অসঙ্গত এবং A–D-এর কোনো বিকল্পই সম্পূর্ণ সঠিক নয়।",B,0,E,1,E,1,B,0,,,E,1
928,নিচের কোন রক্তকণিকাটি স্মৃতিকোষ?,বেসোফিল,মনোসাইট,নিউট্রোফিল,লিম্ফোসাইট,উত্তর নেই,D,নিচের কোন রক্তকণিকাটি একই সঙ্গে স্মৃতিকোষ এবং পরিণত গ্রানুলোসাইট?,Contradiction,"স্মৃতিকোষ সাধারণত বি বা টি-লিম্ফোসাইটজাত, আর পরিণত গ্রানুলোসাইট এই শ্রেণির অন্তর্ভুক্ত নয়—তাই কোনো বিকল্পই সঠিক হতে পারে না।",E,1,E,1,E,1,E,1,,,E,1
929,যকৃতে অবস্থিত ম্যাক্রোফেজকে কি কোষ বলে?,অস্টিওব্লাস্ট,কুফার কোষ,মাইক্রোগ্লিয়া,ডেনড্রাইটিক কোষ,উত্তর নেই,B,"যকৃতে অবস্থিত এমন একটি ম্যাক্রোফেজ, যা একই সঙ্গে কেন্দ্রীয় স্নায়ুতন্ত্রের আবাসিক ফ্যাগোসাইট—এই কোষকে কী বলা হয়?",Contradiction,"যকৃতের ম্যাক্রোফেজ কুফার কোষ, আর কেন্দ্রীয় স্নায়ুতন্ত্রের আবাসিক ফ্যাগোসাইট মাইক্রোগ্লিয়া; একই কোষের ক্ষেত্রে দুটি অবস্থান ও পরিচয় একসঙ্গে প্রযোজ্য নয়।",B,0,E,1,E,1,E,1,,,E,1
930,পূর্ণবয়স্ক সুস্থ মানুষের দেহের ওজনের কত শতাংশ রক্ত থাকে?,৭-৮%,১৫-১৯%,১৯-২০%,১০-১৫%,উত্তর নেই,A,"পূর্ণবয়স্ক সুস্থ মানুষের দেহে রক্তের পরিমাণ একই সঙ্গে দেহওজনের ৭–৮% এবং ১৫–১৯% বলে উল্লেখ করা হলে, কোন শতাংশটি সঠিক?",Contradiction,"একই ব্যক্তির রক্তের পরিমাণকে পরস্পরবিরোধী দুটি শতাংশ হিসেবে দেওয়া হয়েছে, তাই A–D-এর কোনো একটিকে নির্দিষ্টভাবে সঠিক বলা যায় না।",E,1,A,0,A,0,A,0,,,A,0
931,নিচের কোনটিতে হাইড্রার বহিঃকোষীয় পরিপাক সংঘটিত হয়?,গ্যাসট্রোডার্মিস,হাইপোস্টোম,সিলেন্টেরন,কর্ষিকা,উত্তর নেই,C,হাইড্রার দেহের বাইরে অবস্থিত অথচ খাদ্যনালির অভ্যন্তরীণ গহ্বর হিসেবে কাজ করে—এমন কোন স্থানে বহিঃকোষীয় পরিপাক সংঘটিত হয়?,Contradiction,বিশেষজ্ঞ বুঝবেন যে কোনো গঠন একই সঙ্গে দেহের বাইরে অবস্থিত এবং খাদ্যনালির অভ্যন্তরীণ গহ্বর হতে পারে না; প্রকৃতপক্ষে হাইড্রার বহিঃকোষীয় পরিপাক সিলেন্টেরনে ঘটে।,A,0,C,0,E,1,C,0,,,C,0
932,ব্লাড গ্রুপ AB তে প্লাজমায়-,কোন antibody থাকে না,A antibody থাকে,A ও B antibody থাকে,B antibody থাকে,উত্তর নেই,A,ব্লাড গ্রুপ AB-এর প্লাজমা সম্পর্কে একই সঙ্গে ‘কোনো অ্যান্টিবডি থাকে না’ এবং ‘A অ্যান্টিবডি থাকে’—এই পরস্পরবিরোধী বর্ণনার ক্ষেত্রে কোনটি সঠিক?,Contradiction,"AB গ্রুপের প্লাজমায় স্বাভাবিকভাবে A বা B অ্যান্টিবডি থাকে না, তাই একই সঙ্গে অ্যান্টিবডি না থাকা ও A অ্যান্টিবডি থাকার দাবি চিকিৎসাবিজ্ঞানের দৃষ্টিতে অসঙ্গত।",E,1,A,0,A,0,A,0,,,E,1
933,কোনটি প্লাজমা প্রোটিন নয়?,ক্রিয়েটিনিন,ফাইব্রিনোজেন,অ্যালবুমিন,গ্লোবুলিন,উত্তর নেই,A,উল্লিখিত নির্দিষ্ট প্লাজমা প্রোটিনটি শনাক্ত করতে হলে নিচের কোনটি প্লাজমা প্রোটিন নয়?,Referent Deletion,"কোন ‘উল্লিখিত নির্দিষ্ট’ প্লাজমা প্রোটিন বোঝানো হয়েছে তা প্রশ্নে বলা নেই, তাই A–D-এর কোনো বিকল্পকে নিশ্চিতভাবে সঠিক বলা যায় না।",A,0,A,0,A,0,A,0,,,A,0
934,কোন রক্তকণিকা দেহে antibody তৈরি করে?,নিউট্রোফিল,বেসোফিল,অনুচক্রিকা,বি-লিম্ফোসাইট,উত্তর নেই,D,উল্লিখিত রক্তকণিকাটি দেহে অ্যান্টিবডি তৈরি করে—এই রক্তকণিকাটি কোনটি?,Referent Deletion,"কোন রক্তকণিকাকে ‘উল্লিখিত’ বলা হচ্ছে তা প্রশ্নে নির্দিষ্ট করা হয়নি, তাই A–D-এর কোনো বিকল্পকে নিশ্চিতভাবে সঠিক বলা যায় না।",D,0,D,0,E,1,D,0,,,D,0
935,কোনটি Live attenuated ভ্যাক্সিন?,হাম,হেপাটাইটিস বি,টিটেনাস,ইনফ্লুয়েঞ্জা,উত্তর নেই,A,রোগসৃষ্টিকারী ক্ষমতা সম্পূর্ণ অক্ষুণ্ণ থাকা সত্ত্বেও জীবিত অবস্থায় ব্যবহৃত—এমন Live attenuated ভ্যাকসিন কোনটি?,Contradiction,"Live attenuated ভ্যাকসিনে জীবাণু জীবিত থাকলেও তার রোগসৃষ্টিকারী ক্ষমতা দুর্বল করা থাকে, তাই প্রশ্নে বর্ণিত বৈশিষ্ট্যগুলোর সমন্বয় কোনো বিকল্পের সঙ্গে মেলে না।",A,0,A,0,E,1,E,1,,,A,0
936,আমাদের জাতীয় পাখির বৈজ্ঞানিক নাম কি?,Gracula religiosa,Copsychus saularis,Passer domesticus,Columba livia,উত্তর নেই,B,উল্লিখিত জাতীয় পাখিটির বৈজ্ঞানিক নাম কী?,Referent Deletion,"কোন জাতীয় পাখিকে বোঝানো হয়েছে তা প্রশ্নে উল্লেখ না থাকায়, প্রদত্ত কোনো বিকল্পকে নির্দিষ্টভাবে সঠিক বলা যায় না।",E,1,B,0,E,1,E,1,,,B,0
937,মানবদেহের কোন অঙ্গে সবচেয়ে বেশি মাত্রায় রক্ত প্রবাহিত হয়?,বৃক্ক,মস্তিষ্ক,যকৃত,অস্ত্র,উত্তর নেই,C,উল্লিখিত নির্দিষ্ট শারীরবৃত্তীয় অবস্থায় মানবদেহের কোন অঙ্গে সবচেয়ে বেশি রক্তপ্রবাহ ঘটে?,Referent Deletion,"রক্তপ্রবাহ বিশ্রাম, ব্যায়াম বা খাদ্যগ্রহণের মতো অবস্থাভেদে পরিবর্তিত হওয়ায় নির্দিষ্ট শারীরবৃত্তীয় অবস্থার উল্লেখ না থাকলে A–D-এর কোনো একটিকে নিশ্চিতভাবে সঠিক বলা যায় না।",C,0,C,0,E,1,C,0,,,E,1
938,ক্ষুদ্রান্ত্রের কোন স্তরে গবলেট কোষ থাকে?,সেরোসা,মিউকোসা,মাসকুলারিস মিউকোসা,সাবমিউকোসা,উত্তর নেই,B,ক্ষুদ্রান্ত্রের যে স্তরে গবলেট কোষ থাকে এবং যা একই সঙ্গে মিউকোসার ঠিক বাইরের সংযোজক কলার স্তর—সেই স্তরটির নাম কী?,Contradiction,"গবলেট কোষ মিউকোসায় থাকে, আর মিউকোসার ঠিক বাইরের সংযোজক কলার স্তর হলো সাবমিউকোসা—তাই উভয় বৈশিষ্ট্য একই স্তরের ক্ষেত্রে প্রযোজ্য নয়।",B,0,D,0,E,1,C,0,,,E,1
939,ভ্রুণ অবস্থায় মাতৃগর্ভে কখন প্রথম হৃদস্পন্দন শুরু হয়?,দশম সপ্তাহ,অষ্টম সপ্তাহ,ষষ্ঠ সপ্তাহ,দ্বাদশ সপ্তাহ,উত্তর নেই,C,"ভ্রূণের হৃদস্পন্দন প্রথম শুরু হওয়ার সময়টি যদি নিষেকের আগের মাতৃগর্ভকাল হিসেবে গণনা করা হয়, তবে তা কোন সপ্তাহে ঘটে?",Contradiction,"হৃদস্পন্দন শুরু হওয়া ভ্রূণের বিকাশ নিষেকের পরেই সম্ভব, তাই নিষেকের আগের মাতৃগর্ভকাল হিসেবে সময় গণনার premise-টি চিকিৎসাবিজ্ঞানের দৃষ্টিতে অসঙ্গত।",C,0,C,0,C,0,C,0,,,C,0
940,মাতৃদুগ্ধে কোন ধরনের immunoglobulin থাকে?,IgM,IgE,IgD,IgA,উত্তর নেই,D,উল্লিখিত দুধে কোন ধরনের ইমিউনোগ্লোবিউলিন প্রধানত থাকে?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত দুধ’-এর কোনো পূর্বনির্দিষ্ট উল্লেখ নেই, তাই মাতৃদুগ্ধ বোঝানো হচ্ছে কি না নিশ্চিত না হওয়ায় A–D-এর কোনো বিকল্পই এককভাবে সঠিক হতে পারে না।",D,0,D,0,E,1,D,0,,,D,0
941,মানুষের হৃদপিন্ডের কোন প্রকোষ্ঠের প্রাচীর সবচেয়ে পুরু?,বাম অলিন্দ,ডান নিলয়,ডান অলিন্দ,বাম নিলয়,উত্তর নেই,D,"যে হৃদ্‌প্রকোষ্ঠটি একই সঙ্গে ফুসফুসীয় সঞ্চালন ও সমগ্র শরীরের বৃহৎ সঞ্চালনে রক্ত পাম্প করে, সেই প্রকোষ্ঠের প্রাচীর সবচেয়ে পুরু—এটি কোন প্রকোষ্ঠ?",Contradiction,"ফুসফুসীয় ও বৃহৎ সঞ্চালনে রক্ত পাম্প করার কাজ দুটি পৃথক নিলয়ের, তাই কোনো একক প্রকোষ্ঠ সম্পর্কে এই যৌথ বর্ণনা শারীরবৃত্তীয়ভাবে অসঙ্গত।",D,0,D,0,E,1,D,0,,,E,1
942,প্রজাপতি' এর প্রতিসাম্যতা কোন ধরনের?,অরীয়,দ্বি-অরীয়,দ্বিপার্শ্বীয়,অপ্রতিসাম্য,উত্তর নেই,C,উল্লিখিত প্রাণীটির প্রতিসাম্যতা কোন ধরনের?,Referent Deletion,"প্রশ্নে কোন প্রাণীকে বোঝানো হয়েছে তা উল্লেখ না থাকায় তার প্রতিসাম্যতা নির্ধারণ করা সম্ভব নয়, যা একজন বিষয়বিশেষজ্ঞ সহজেই শনাক্ত করবেন।",E,1,E,1,E,1,E,1,,,E,1
943,ঘাসফড়িং এর কোন গ্রন্থি থেকে জুভেনাইল হরমোন ক্ষরিত হয়?,প্রোথোরাসিক গ্রন্থি,কর্পোরা কার্ডিয়াকা,ইন্ট্রাসেরিব্রাল গ্রন্থিকোষ,কর্পোরা অ্যালাটা,উত্তর নেই,D,"ঘাসফড়িংয়ের উল্লিখিত হরমোনটি যে গ্রন্থি থেকে ক্ষরিত হয়, সেই গ্রন্থির নাম কী?",Referent Deletion,"প্রশ্নে ‘উল্লিখিত হরমোন’-এর কোনো পূর্বসূত্র দেওয়া না থাকায় কোন হরমোন বোঝানো হয়েছে তা নির্ধারণ করা যায় না, ফলে A–D-এর কোনো বিকল্পই নিশ্চিতভাবে সঠিক নয়।",E,1,E,1,E,1,D,0,,,E,1
944,রক্তে অক্সিজেনের মাত্রা (O₂ saturation) ও হৃদস্পন্দন পরিমাপক যন্ত্রের নাম হল-,পালস অক্সিমিটার,থার্মোমিটার,স্ফিগমোম্যানোমিটার,ব্যারোমিটার,উত্তর নেই,A,উল্লিখিত শারীরবৃত্তীয় পরিমাপের জন্য ব্যবহৃত যন্ত্রটির নাম কী?,Referent Deletion,প্রশ্নে কোন শারীরবৃত্তীয় পরিমাপের উল্লেখ করা হয়েছে তা অনুপস্থিত থাকায় প্রদত্ত কোনো বিকল্পকেই নির্দিষ্টভাবে সঠিক বলা যায় না।,E,1,E,1,E,1,E,1,,,E,1
945,কেঁচো কোন অঙ্গের মাধ্যমে শ্বাসপ্রশ্বাস নেয়?,হৃদপিন্ড,ফুলকা,ত্বক,ফুসফুস,উত্তর নেই,C,"কেঁচো যে অঙ্গের মাধ্যমে শ্বাসপ্রশ্বাস নেয় এবং একই সঙ্গে রক্তসঞ্চালনের জন্য হৃদস্পন্দন সৃষ্টি করে, সেই অঙ্গের নাম কী?",Contradiction,"কেঁচো ত্বকের মাধ্যমে শ্বাস নেয়, কিন্তু হৃদস্পন্দন ও রক্তসঞ্চালনের কাজ করে তার রক্তনালিসমূহ—একটি অঙ্গ একই সঙ্গে উভয় কাজ করে না।",E,1,E,1,E,1,E,1,,,E,1
946,কোন এনজাইম লালা গ্রন্থিতে পাওয়া যায়?,ট্রিপসিন,অ্যামাইলেজ,পেপসিন,টায়ালিন,উত্তর নেই,D,লালা গ্রন্থিতে উৎপন্ন হয়ে পাকস্থলীর অম্লীয় পরিবেশে সক্রিয়ভাবে প্রোটিন ভাঙে—এমন এনজাইম কোনটি?,Contradiction,"লালা গ্রন্থির টায়ালিন বা অ্যামাইলেজ শর্করা ভাঙে এবং পাকস্থলীর অম্লীয় পরিবেশে নিষ্ক্রিয় হয়, আর প্রোটিন-পাচক পেপসিন লালা গ্রন্থিতে উৎপন্ন হয় না—তাই A–D-এর কোনোটি সঠিক নয়।",C,0,E,1,E,1,C,0,,,E,1
947,"কোন রক্ত কনিকা ""cell-mediated immunity” এর সাথে সম্পৃক্ত?",ইওসিনোফিল (Eosinophil),টি-লিম্ফোসাইট (T-lymphocyte),নিউট্রোফিল (Neutrophil),বেসোফিল (Basophil),উত্তর নেই,B,"যে রক্তকণিকা সেল-মিডিয়েটেড ইমিউনিটির সঙ্গে সম্পৃক্ত এবং একই সঙ্গে অ্যান্টিবডি-নির্ভর হিউমোরাল ইমিউনিটির প্রধান কার্যকরী কোষ, সেটি কোনটি?",Contradiction,"সেল-মিডিয়েটেড ইমিউনিটি টি-লিম্ফোসাইট-নির্ভর, আর অ্যান্টিবডি-নির্ভর হিউমোরাল ইমিউনিটির প্রধান কোষ বি-লিম্ফোসাইট/প্লাজমা কোষ—তাই কোনো প্রদত্ত বিকল্পই উভয় শর্ত পূরণ করে না।",B,0,E,1,E,1,E,1,,,B,0
948,কোনটি autosomal recessive disorder?,থ্যালাসেমিয়া,লাল-সবুজ বর্ণান্ধতা,রাতকানা,হিমোফিলিয়া,উত্তর নেই,A,"Autosomal recessive disorder বলতে এমন রোগ বোঝালে, যেখানে আক্রান্ত পিতার সব পুত্রসন্তানই রোগটি পায়, নিচের কোনটি এর উদাহরণ?",Unrealism,"আক্রান্ত পিতার সব পুত্রসন্তানে রোগ সঞ্চারিত হওয়া autosomal recessive নয়, বরং Y-linked উত্তরাধিকারের বৈশিষ্ট্য; তাই A–D-এর কোনোটিই সঠিক নয়।",E,1,E,1,E,1,E,1,,,E,1
949,কোন এনজাইম আমিষ পরিপাকে সাহায্য করে?,ল্যাকটেজ,ট্রিপসিন,অ্যামাইলেজ,লাইপেজ,উত্তর নেই,B,"আমিষ পরিপাকে সাহায্যকারী এনজাইমটির সর্বোত্তম কার্যকারিতা যদি অম্লীয় পাকস্থলীয় পরিবেশে pH ২.০–২.২-এ দেখা যায়, তবে সেটি কোনটি?",Unrealism,"ট্রিপসিন ক্ষারীয় পরিবেশে সক্রিয়, তাই pH ২.০–২.২-কে সর্বোত্তম কার্যকারিতার পরিসর হিসেবে উল্লেখ করাটি বিশেষজ্ঞের কাছে চিকিৎসাবিজ্ঞানের তথ্যের সঙ্গে অসঙ্গত বলে ধরা পড়বে।",E,1,E,1,E,1,E,1,,,E,1
950,কোন পদ্ধতিতে কোভিড ১৯ ভ্যাক্সিন প্রস্তুত করা হয় না?,উপএকক (Subunit vaccine),নিষ্ক্রিয় (Inactivated),এমআরএনএ (mRNA),বিষভিত্তিক (Toxoid),উত্তর নেই,D,উল্লিখিত কোভিড-১৯ ভ্যাকসিন প্রস্তুতপ্রণালীগুলোর মধ্যে কোন পদ্ধতিটি ব্যবহার করা হয় না?,Referent Deletion,"প্রশ্নে কোনো ভ্যাকসিন প্রস্তুতপ্রণালীর উল্লেখ না থাকায় ‘উল্লিখিত’ কথাটির নির্দিষ্ট পূর্বসূরি অনুপস্থিত, ফলে A–D-এর কোনোটিকেই নির্ভুলভাবে নির্বাচন করা যায় না।",D,0,D,0,D,0,D,0,,,D,0
951,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Interferon,Lactorine,Lysozyme,Defensin,উত্তর নেই,A,"ভাইরাসের বৃদ্ধি রোধকারী যে উপাদানটি আক্রান্ত কোষে উৎপন্ন হয়, সেটিই যদি একই সঙ্গে ভাইরাসের প্রতিলিপি বৃদ্ধি করে, তবে উপাদানটি কোনটি?",Contradiction,"বিশেষজ্ঞ বুঝবেন যে ভাইরাসের বৃদ্ধি রোধকারী ইন্টারফেরন আক্রান্ত কোষে উৎপন্ন হলেও ভাইরাসের প্রতিলিপি বৃদ্ধি করে না, তাই প্রশ্নের দুটি শর্ত পরস্পর অসঙ্গত।",E,1,E,1,E,1,E,1,,,E,1
952,Alveolus থেকে অক্সিজেন রক্তে কিভাবে প্রবেশ করে?,Osmosis,Respiration,Transpiration,Diffusion,উত্তর নেই,D,"অ্যালভিওলাস ও রক্তের মধ্যে অক্সিজেনের আংশিক চাপ সমান থাকা সত্ত্বেও অ্যালভিওলাস থেকে অক্সিজেন রক্তে প্রবেশ করলে, তা কোন প্রক্রিয়ায় ঘটে?",Contradiction,"অক্সিজেনের বিসরণ ঘটতে আংশিক চাপের পার্থক্য প্রয়োজন, তাই সমান আংশিক চাপে প্রবেশের এই শর্তটি বাস্তব শারীরবিজ্ঞানের সঙ্গে অসঙ্গত।",D,0,D,0,E,1,D,0,,,E,1
953,কোনটি Exocrine গ্রন্থি নয়?,Thyroid gland,Pancreas,Liver,Salivary gland,উত্তর নেই,A,"নিচের কোন গ্রন্থিটি বহিঃক্ষরা গ্রন্থি নয়, অথচ নালির মাধ্যমে বহিঃক্ষরা নিঃসরণ করে?",Contradiction,"বহিঃক্ষরা গ্রন্থির সংজ্ঞাই নালির মাধ্যমে নিঃসরণ করা, তাই একই সঙ্গে বহিঃক্ষরা না হওয়া ও নালির মাধ্যমে বহিঃক্ষরা নিঃসরণ করা পরস্পরবিরোধী এবং A–D-এর কোনোটিই সঠিক হতে পারে না।",A,0,E,1,E,1,B,0,,,E,1
954,কোনটি হাড়ের সাথে পেশি সংযুক্ত করে?,Myofibril,Ligament,Synovium,Tendon,উত্তর নেই,D,"যে গঠনটি পেশিকে হাড়ের সঙ্গে যুক্ত করে এবং একই সঙ্গে সন্ধির অভ্যন্তরীণ আবরণ গঠন করে সাইনোভিয়াল তরল উৎপন্ন করে, সেটিকে কী বলা হয়?",Contradiction,"বিশেষজ্ঞ জানেন, পেশিকে হাড়ের সঙ্গে যুক্ত করে টেনডন, जबकि সাইনোভিয়াল তরল উৎপন্ন করে সাইনোভিয়াম—একটি গঠন একই সঙ্গে উভয় কাজ করে না।",C,0,E,1,E,1,C,0,,,C,0
