serial_no,question,answer
775,প্রথম টেস্টটিউব বেবির নাম কী?,লুইস ব্রাউন
776,নিচের কোনটি মানুষের প্রাথমিক প্রতিরোধ ব্যবস্থা নয়?,ইন্টারফেরন
777,নিচের কোনটি সেক্স-লিংকড ডিসঅর্ডার নয়?,থ্যালাসেমিয়া
778,মারসুপিয়াল স্তন্যপায়ী প্রাণী কোন মহাদেশে পাওয়া যায়?,অস্ট্রেলিয়া
779,নিচের কোনটি দ্বিঅরীয় প্রতিসাম্য প্রাণীর উদাহরণ?,টিনোফোরা
780,হাইড্রার খাদ্য নয় কোনটি?,ছোট ঘাস
781,ঘাসফড়িংয়ের রক্ত সংবহনতন্ত্রের অংশ নয় কোনটি?,সম্মুখ বাহিকা
782,স্ত্রী রুইমাছ ডিম পাড়ে কখন?,জুন-আগস্ট মাস
783,নিচের কোন হরমোনটি পাকস্থলীর হাইড্রোক্লোরিক অ্যাসিড নিঃসরণ নিয়ন্ত্রণ করে?,গ্যাস্ট্রিন
784,নিচের কোনটি তৈরির প্রক্রিয়াকে এরিথ্রোপোয়েসিস বলে?,লোহিত রক্তকণিকা
785,হৃদ-ফুসফুস যন্ত্র (Heart-Lung Machine) কোন কাজে ব্যবহৃত হয়?,হৃৎপিণ্ডের বাইপাস সার্জারিতে
786,হেনলির লুপের অবস্থান বৃক্কের কোথায়?,বৃক্কীয় নালিকায়
787,মানবদেহের করোটিকাতে কতগুলো অস্থি আছে?,12টি
788,পূর্ণ সংবেদী স্নায়ু নয় কোনটি?,ফেসিয়াল স্নায়ু
789,প্রাপ্তবয়স্ক মানুষের মস্তিষ্কে নিউরনের সংখ্যা কত?,১০ বিলিয়ন
790,নিচের কোনটি মিশ্র গ্রন্থি নয়?,এড্রেনাল গ্রন্থি
791,বুকের দুধে কোন ধরনের ইমিউনোগ্লোবিন (Ig) থাকে?,IgE
792,"কনে হিমোফিলিয়া বাহক, বর সুস্থ, এদের সন্তানদের ক্ষেত্রে কোনটি মিথ্যা?",পুত্রদের সবাই সুস্থ হবে
793,ফিলোসফিকা জুওলজিক' গ্রন্থের রচয়িতা কে?,ল্যামার্ক
794,জুরাসিক সময়কাল বলা হয় কত আগের সময়কে?,সাড়ে ১৬ কোটি বছর
795,মস্তিষ্কের কোন অংশ মানুষের ক্ষুধা নিয়ন্ত্রণ করে?,হাইপোথ্যালামাস
796,ডেলটয়েড টিউবারসিটি কোন অস্থির অংশ?,হিউমেরাস
797,ফুসফুসের আবরণকে কি বলে?,প্লিওরা
798,নিচের কোনটি মানুষের দ্বিতীয় মস্তিষ্ক হিসাবে পরিচিত?,এন্টেরিক স্নায়ুতন্ত্র
799,কানের কোন অংশ ভারসাম্য রক্ষায় কাজ করে?,ভেস্টিবুলার যন্ত্র
800,নিচের কোন হরমোনটি মানুষের ডিম্বাশয় থেকে নিঃসৃত হয়??,প্রজেস্টেরন
801,কোন চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরী হয়?,অরনিথিন চক্র
802,কোন এন্টিবডি প্রধানত এলার্জির সাথে সংশ্লিষ্ট?,IgE
803,মানবদেহে সপ্তম করোটিক স্নায়ুর নাম কি?,ফেসিয়াল স্নায়ু
804,এনজিওপ্লাস্টি করলে কি হয়?,সরু ধমনী প্রশস্ত হয়
805,কোন কোষ হেপারিন তৈরী ও নিঃসরণ করে?,বেসোফিল
806,ডাক্টাস ক্যুভেইরি রুই মাছের কোন তন্ত্রের অংশ?,শিরাতন্ত্র
807,পেসমেকারের কাজ কি?,হৃদস্পন্দনের ধীরগতি নিয়ন্ত্রণ করে
808,"পূর্ণবয়স্ক সুস্থ মানুষের দুই বৃক্কে প্রতি মিনিটে মোট রক্ত সঞ্চালনের
পরিমাণ-",১২০০ মিঃ লিঃ
809,কোনটির উপস্থিতিতে স্নেহ পদার্থের ইমালসিফিকেশন হয়?,বাইল সল্ট
810,নিচের কোনটি নাইট্রোজেনবিহীন পদার্থ?,ল্যাকটিক এসিড
811,মুখে খাওয়ার পোলিও ভ্যাকসিনটি কোন ধরনের ভ্যাকসিন?,জীবনস্মৃত জীবন্ত টিকা
812,নিচের কোনটি ম্যাক্রোফেজের কাজ নয়?,বিভিন্ন ধরনের এন্টিবডি তৈরি করা
813,অন্তঃশ্বসন-,"A,B"
814,Mollusca এর ক্ষেত্রে কোনটি সঠিক?,নরম ও অখন্ডায়িত
815,গ্লুকাগন-,ইনসুলিনের সাথে বিপরীতভাবে সম্পর্কিত
816,মানবদেহে কোনটি লুপ্তপ্রায় অংগ?,থাইমাস
817,কোন উদ্দীপনা অ্যানিমোট্যাক্সিসকে প্রভাবিত করে?,বায়ুপ্রবাহ
818,মায়োফাইব্রিলে কি ধরনের আমিষ থাকে?,অ্যাকটিন এবং মায়োসিন
819,অন্ত্রের প্রথম প্রতিরক্ষার স্তর কোনটি?,"পাকস্থলির অ্যাসিড, মাইক্রোবায়োম ও মলত্যাগ"
820,বুকের দুধের কোন উপাদানটি নবজাতকের প্রতিরক্ষায় কার্যকর?,ইমিউনোগ্লোবুলিন-এ
821,নিচের কোন স্তন্যপায়ী প্রাণী ডিম পাড়ে?,প্লাটিপাস (Platypus)
823,নিচের চার প্রকোষ্ঠ বিশিষ্ট হৃদপিন্ড কোন প্রাণীতে দেখা যায়?,কুমীর
824,কোন hormone পাকস্থলির এসিড নিঃসরণ নিয়ন্ত্রণ করে?,গ্যাস্ট্রিন
825,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,mitosis
826,কোন hormone রক্তে Na+ এবং K+ এর সমতা রক্ষা করে?,এলডোস্টেরন
827,স্বাভাবিক অবস্থায় হৃদপিন্ডের পেসমেকার কোনটি?,SA node
828,নিচের কোন রক্তকণিকাটি স্মৃতিকোষ?,লিম্ফোসাইট
829,যকৃতে অবস্থিত ম্যাক্রোফেজকে কি কোষ বলে?,কুফার কোষ
830,পূর্ণবয়স্ক সুস্থ মানুষের দেহের ওজনের কত শতাংশ রক্ত থাকে?,৭-৮%
831,নিচের কোনটিতে হাইড্রার বহিঃকোষীয় পরিপাক সংঘটিত হয়?,সিলেন্টেরন
832,ব্লাড গ্রুপ AB তে প্লাজমায়-,কোন antibody থাকে না
833,কোনটি প্লাজমা প্রোটিন নয়?,ক্রিয়েটিনিন
834,কোন রক্তকণিকা দেহে antibody তৈরি করে?,বি-লিম্ফোসাইট
835,কোনটি Live attenuated ভ্যাক্সিন?,হাম
836,আমাদের জাতীয় পাখির বৈজ্ঞানিক নাম কি?,Copsychus saularis
837,মানবদেহের কোন অঙ্গে সবচেয়ে বেশি মাত্রায় রক্ত প্রবাহিত হয়?,যকৃত
838,ক্ষুদ্রান্ত্রের কোন স্তরে গবলেট কোষ থাকে?,মিউকোসা
839,ভ্রুণ অবস্থায় মাতৃগর্ভে কখন প্রথম হৃদস্পন্দন শুরু হয়?,ষষ্ঠ সপ্তাহ
840,মাতৃদুগ্ধে কোন ধরনের immunoglobulin থাকে?,IgA
841,মানুষের হৃদপিন্ডের কোন প্রকোষ্ঠের প্রাচীর সবচেয়ে পুরু?,বাম নিলয়
842,প্রজাপতি' এর প্রতিসাম্যতা কোন ধরনের?,দ্বিপার্শ্বীয়
843,ঘাসফড়িং এর কোন গ্রন্থি থেকে জুভেনাইল হরমোন ক্ষরিত হয়?,কর্পোরা অ্যালাটা
844,রক্তে অক্সিজেনের মাত্রা (O₂ saturation) ও হৃদস্পন্দন পরিমাপক যন্ত্রের নাম হল-,পালস অক্সিমিটার
845,কেঁচো কোন অঙ্গের মাধ্যমে শ্বাসপ্রশ্বাস নেয়?,ত্বক
846,কোন এনজাইম লালা গ্রন্থিতে পাওয়া যায়?,টায়ালিন
847,"কোন রক্ত কনিকা ""cell-mediated immunity” এর সাথে সম্পৃক্ত?",টি-লিম্ফোসাইট (T-lymphocyte)
848,কোনটি autosomal recessive disorder?,থ্যালাসেমিয়া
849,কোন এনজাইম আমিষ পরিপাকে সাহায্য করে?,ট্রিপসিন
850,কোন পদ্ধতিতে কোভিড ১৯ ভ্যাক্সিন প্রস্তুত করা হয় না?,বিষভিত্তিক (Toxoid)
851,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Interferon
852,Alveolus থেকে অক্সিজেন রক্তে কিভাবে প্রবেশ করে?,Diffusion
853,কোনটি Exocrine গ্রন্থি নয়?,Thyroid gland
854,কোনটি হাড়ের সাথে পেশি সংযুক্ত করে?,Tendon
855,মানবদেহের রক্তে কোন বাফার দ্রবণ (buffer solution) থাকে?,NaHCO3 and H2CO3
856,কোনটি আমিষ পরিপাককারী (digesting) এনজাইম?,Pepsin
857,নেমাটোসিস্টের (Nematocyst) ভিতরে বিষাক্ত তরল পদার্থের নাম কী?,Hypnotoxin
858,ঘাসফড়িং এর রক্ত কণিকার নাম কী?,Hemocyte
859,ক্ষুদ্রান্ত্রের কোন স্তরে পানপাত্র সেল (Goblet cell) পাওয়া যায়?,Mucosa
860,মাথার খুলিতে কয়টি হাড় রয়েছে?,29
861,কোনটি attenuated টিকা?,BCG vaccine
862,কোন কোষ ম্যাক্রোফেজে (macrophages) রূপান্তরিত হয়?,Monocyte
863,কোন পদ্ধতিতে Hydra লম্বা দূরত্ব অতিক্রম করে?,হামাগুড়ি (looping)
864,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Mitochondria
865,কোন এনজাইম অগ্ন্যাশয়ে নাই?,Ptyalin
866,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,"A,C"
867,প্রাণিজগতের বৃহত্তম Phylum কোনটি?,Arthropoda
868,লিভারের কোন লোবটি পিত্তথলির সাথে সংযুক্ত থাকে?,Right lobe
869,মানুষের সোমাটিক কোষে কয়টি অটোসোম থাকে?,44
870,গ্রোথ হরমোন কোথায় তৈরি হয়?,Pituitary gland
871,Golgi complex কোনটি সংশ্লেষ (synthesis) করে না?,Ribosome
872,পেসমেকারে কোন ব্যাটারি ব্যবহৃত হয়?,লিথিয়াম
873,দ্বিপদ নামকরণের জনক কে?,ক্যারোলাস লিনিয়াস
874,অন্তঃশ্বসন প্রধানত কোষের কোথায় সংঘটিত হয়?,মাইটোকন্ড্রিয়া
875,নিচের কোনটি হিমোসিলোমেট?,আর্থ্রোপোডা
876,কোনটির 6 টি কোডন আছে?,লিউসিন
877,অত্যাবশ্যকীয় অ্যামিনো এসিড নয় কোনটি?,লাইসিন
878,ইনসুলিন কোথা থেকে নিঃসৃত হয়?,বিটা কোষ থেকে
879,মৎস্যখনি বলা হয়?,হালদা
880,অ্যাপেন্ডিক্স কোথায় থাকে?,সিকোমে
881,পিত্তথলি কোথায় উন্মুক্ত হয়?,ডিওডেনামে
882,কত BMI কে স্বাভাবিক ওজন হিসেবে ধরা হয়?,18.5-24.9
883,লোহিত রক্তকণিকার সাথে সম্পৃক্ত নয় কোনটি?,ফ্যাগোসাইটোসিস
884,কোনটি O₂ যুক্ত রক্ত পরিবহন করে?,পালমোনারি শিরা
885,কোনটি লালাগ্রন্থি নয়?,ম্যাক্সিলারি
886,স্বরযন্ত্রের তরুণাস্থি নয় কোনটি?,হাইওয়েড
887,শ্রোণী অস্থি নয় কোনটি?,ভোমার
888,দেহের ভারসাম্য রক্ষা করে কোনটি?,অন্তঃকর্ণ
889,বয়ঃসন্ধিকালে জরায়ু বৃদ্ধি নিয়ন্ত্রণে ভূমিকা নেই কার?,টেস্টোস্টেরন
890,গ্রন্থিরাজ বলা হয় কোনটিকে?,পিটুইটারি
891,মানবদেহে কোন ইউমিউনোগ্লোবিউলিন অনুপস্থিত?,IgB
892,সেক্স লিঙ্কড জিন নয় কোনটি?,ডাইবেটিস মেলাইটাস
893,রক্ত জমাট বাধার ফ্যাক্টর নয় কোনটি?,K
894,নিচের কোন প্রাণীটি ত্রিস্তরী?,কেঁচো
895,মস্তিষ্কের কোন অংশ মানুষের ক্ষুধা নিয়ন্ত্রণ করে?,হাইপোথ্যালামাস
896,ডেলটয়েড টিউবারসিটি কোন অস্থির অংশ?,হিউমেরাস
897,ফুসফুসের আবরণকে কি বলে?,প্লিওরা
898,নিচের কোনটি মানুষের দ্বিতীয় মস্তিষ্ক হিসাবে পরিচিত?,এন্টেরিক স্নায়ুতন্ত্র
899,কানের কোন অংশ ভারসাম্য রক্ষায় কাজ করে?,ভেস্টিবুলার যন্ত্র
900,নিচের কোন হরমোনটি মানুষের ডিম্বাশয় থেকে নিঃসৃত হয়??,প্রজেস্টেরন
901,কোন চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরী হয়?,অরনিথিন চক্র
902,কোন এন্টিবডি প্রধানত এলার্জির সাথে সংশ্লিষ্ট?,IgE
903,মানবদেহে সপ্তম করোটিক স্নায়ুর নাম কি?,ফেসিয়াল স্নায়ু
904,এনজিওপ্লাস্টি করলে কি হয়?,সরু ধমনী প্রশস্ত হয়
905,কোন কোষ হেপারিন তৈরী ও নিঃসরণ করে?,বেসোফিল
906,ডাক্টাস ক্যুভেইরি রুই মাছের কোন তন্ত্রের অংশ?,শিরাতন্ত্র
907,পেসমেকারের কাজ কি?,হৃদস্পন্দনের ধীরগতি নিয়ন্ত্রণ করে
908,"পূর্ণবয়স্ক সুস্থ মানুষের দুই বৃক্কে প্রতি মিনিটে মোট রক্ত সঞ্চালনের
পরিমাণ-",১২০০ মিঃ লিঃ
909,কোনটির উপস্থিতিতে স্নেহ পদার্থের ইমালসিফিকেশন হয়?,বাইল সল্ট
910,নিচের কোনটি নাইট্রোজেনবিহীন পদার্থ?,ল্যাকটিক এসিড
911,মুখে খাওয়ার পোলিও ভ্যাকসিনটি কোন ধরনের ভ্যাকসিন?,জীবনস্মৃত জীবন্ত টিকা
912,নিচের কোনটি ম্যাক্রোফেজের কাজ নয়?,বিভিন্ন ধরনের এন্টিবডি তৈরি করা
913,অন্তঃশ্বসন-,"A,B"
914,Mollusca এর ক্ষেত্রে কোনটি সঠিক?,নরম ও অখন্ডায়িত
915,গ্লুকাগন-,ইনসুলিনের সাথে বিপরীতভাবে সম্পর্কিত
916,মানবদেহে কোনটি লুপ্তপ্রায় অংগ?,থাইমাস
917,কোন উদ্দীপনা অ্যানিমোট্যাক্সিসকে প্রভাবিত করে?,বায়ুপ্রবাহ
918,মায়োফাইব্রিলে কি ধরনের আমিষ থাকে?,অ্যাকটিন এবং মায়োসিন
919,অন্ত্রের প্রথম প্রতিরক্ষার স্তর কোনটি?,"পাকস্থলির অ্যাসিড, মাইক্রোবায়োম ও মলত্যাগ"
920,বুকের দুধের কোন উপাদানটি নবজাতকের প্রতিরক্ষায় কার্যকর?,ইমিউনোগ্লোবুলিন-এ
921,নিচের কোন স্তন্যপায়ী প্রাণী ডিম পাড়ে?,প্লাটিপাস (Platypus)
923,নিচের চার প্রকোষ্ঠ বিশিষ্ট হৃদপিন্ড কোন প্রাণীতে দেখা যায়?,কুমীর
924,কোন hormone পাকস্থলির এসিড নিঃসরণ নিয়ন্ত্রণ করে?,গ্যাস্ট্রিন
925,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,mitosis
926,কোন hormone রক্তে Na+ এবং K+ এর সমতা রক্ষা করে?,এলডোস্টেরন
927,স্বাভাবিক অবস্থায় হৃদপিন্ডের পেসমেকার কোনটি?,SA node
928,নিচের কোন রক্তকণিকাটি স্মৃতিকোষ?,লিম্ফোসাইট
929,যকৃতে অবস্থিত ম্যাক্রোফেজকে কি কোষ বলে?,কুফার কোষ
930,পূর্ণবয়স্ক সুস্থ মানুষের দেহের ওজনের কত শতাংশ রক্ত থাকে?,৭-৮%
931,নিচের কোনটিতে হাইড্রার বহিঃকোষীয় পরিপাক সংঘটিত হয়?,সিলেন্টেরন
932,ব্লাড গ্রুপ AB তে প্লাজমায়-,কোন antibody থাকে না
933,কোনটি প্লাজমা প্রোটিন নয়?,ক্রিয়েটিনিন
934,কোন রক্তকণিকা দেহে antibody তৈরি করে?,বি-লিম্ফোসাইট
935,কোনটি Live attenuated ভ্যাক্সিন?,হাম
936,আমাদের জাতীয় পাখির বৈজ্ঞানিক নাম কি?,Copsychus saularis
937,মানবদেহের কোন অঙ্গে সবচেয়ে বেশি মাত্রায় রক্ত প্রবাহিত হয়?,যকৃত
938,ক্ষুদ্রান্ত্রের কোন স্তরে গবলেট কোষ থাকে?,মিউকোসা
939,ভ্রুণ অবস্থায় মাতৃগর্ভে কখন প্রথম হৃদস্পন্দন শুরু হয়?,ষষ্ঠ সপ্তাহ
940,মাতৃদুগ্ধে কোন ধরনের immunoglobulin থাকে?,IgA
941,মানুষের হৃদপিন্ডের কোন প্রকোষ্ঠের প্রাচীর সবচেয়ে পুরু?,বাম নিলয়
942,প্রজাপতি' এর প্রতিসাম্যতা কোন ধরনের?,দ্বিপার্শ্বীয়
943,ঘাসফড়িং এর কোন গ্রন্থি থেকে জুভেনাইল হরমোন ক্ষরিত হয়?,কর্পোরা অ্যালাটা
944,রক্তে অক্সিজেনের মাত্রা (O₂ saturation) ও হৃদস্পন্দন পরিমাপক যন্ত্রের নাম হল-,পালস অক্সিমিটার
945,কেঁচো কোন অঙ্গের মাধ্যমে শ্বাসপ্রশ্বাস নেয়?,ত্বক
946,কোন এনজাইম লালা গ্রন্থিতে পাওয়া যায়?,টায়ালিন
947,"কোন রক্ত কনিকা ""cell-mediated immunity” এর সাথে সম্পৃক্ত?",টি-লিম্ফোসাইট (T-lymphocyte)
948,কোনটি autosomal recessive disorder?,থ্যালাসেমিয়া
949,কোন এনজাইম আমিষ পরিপাকে সাহায্য করে?,ট্রিপসিন
950,কোন পদ্ধতিতে কোভিড ১৯ ভ্যাক্সিন প্রস্তুত করা হয় না?,বিষভিত্তিক (Toxoid)
951,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Interferon
952,Alveolus থেকে অক্সিজেন রক্তে কিভাবে প্রবেশ করে?,Diffusion
953,কোনটি Exocrine গ্রন্থি নয়?,Thyroid gland
954,কোনটি হাড়ের সাথে পেশি সংযুক্ত করে?,Tendon
955,মানবদেহের রক্তে কোন বাফার দ্রবণ (buffer solution) থাকে?,NaHCO3 and H2CO3
956,কোনটি আমিষ পরিপাককারী (digesting) এনজাইম?,Pepsin
957,নেমাটোসিস্টের (Nematocyst) ভিতরে বিষাক্ত তরল পদার্থের নাম কী?,Hypnotoxin
958,ঘাসফড়িং এর রক্ত কণিকার নাম কী?,Hemocyte
959,ক্ষুদ্রান্ত্রের কোন স্তরে পানপাত্র সেল (Goblet cell) পাওয়া যায়?,Mucosa
960,মাথার খুলিতে কয়টি হাড় রয়েছে?,29
961,কোনটি attenuated টিকা?,BCG vaccine
962,কোন কোষ ম্যাক্রোফেজে (macrophages) রূপান্তরিত হয়?,Monocyte
963,কোন পদ্ধতিতে Hydra লম্বা দূরত্ব অতিক্রম করে?,হামাগুড়ি (looping)
964,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Mitochondria
965,কোন এনজাইম অগ্ন্যাশয়ে নাই?,Ptyalin
966,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,"A,C"
967,প্রাণিজগতের বৃহত্তম Phylum কোনটি?,Arthropoda
968,লিভারের কোন লোবটি পিত্তথলির সাথে সংযুক্ত থাকে?,Right lobe
969,মানুষের সোমাটিক কোষে কয়টি অটোসোম থাকে?,44
970,গ্রোথ হরমোন কোথায় তৈরি হয়?,Pituitary gland
971,Golgi complex কোনটি সংশ্লেষ (synthesis) করে না?,Ribosome
972,পেসমেকারে কোন ব্যাটারি ব্যবহৃত হয়?,লিথিয়াম
973,দ্বিপদ নামকরণের জনক কে?,ক্যারোলাস লিনিয়াস
974,অন্তঃশ্বসন প্রধানত কোষের কোথায় সংঘটিত হয়?,মাইটোকন্ড্রিয়া
975,নিচের কোনটি হিমোসিলোমেট?,আর্থ্রোপোডা
976,কোনটির 6 টি কোডন আছে?,লিউসিন
977,অত্যাবশ্যকীয় অ্যামিনো এসিড নয় কোনটি?,লাইসিন
978,ইনসুলিন কোথা থেকে নিঃসৃত হয়?,বিটা কোষ থেকে
979,মৎস্যখনি বলা হয়?,হালদা
980,অ্যাপেন্ডিক্স কোথায় থাকে?,সিকোমে
981,পিত্তথলি কোথায় উন্মুক্ত হয়?,ডিওডেনামে
982,কত BMI কে স্বাভাবিক ওজন হিসেবে ধরা হয়?,18.5-24.9
983,লোহিত রক্তকণিকার সাথে সম্পৃক্ত নয় কোনটি?,ফ্যাগোসাইটোসিস
984,কোনটি O₂ যুক্ত রক্ত পরিবহন করে?,পালমোনারি শিরা
985,কোনটি লালাগ্রন্থি নয়?,ম্যাক্সিলারি
986,স্বরযন্ত্রের তরুণাস্থি নয় কোনটি?,হাইওয়েড
987,শ্রোণী অস্থি নয় কোনটি?,ভোমার
988,দেহের ভারসাম্য রক্ষা করে কোনটি?,অন্তঃকর্ণ
989,বয়ঃসন্ধিকালে জরায়ু বৃদ্ধি নিয়ন্ত্রণে ভূমিকা নেই কার?,টেস্টোস্টেরন
990,গ্রন্থিরাজ বলা হয় কোনটিকে?,পিটুইটারি
991,মানবদেহে কোন ইউমিউনোগ্লোবিউলিন অনুপস্থিত?,IgB
992,সেক্স লিঙ্কড জিন নয় কোনটি?,ডাইবেটিস মেলাইটাস
993,রক্ত জমাট বাধার ফ্যাক্টর নয় কোনটি?,K
994,নিচের কোন প্রাণীটি ত্রিস্তরী?,কেঁচো
995,কোন hormone পাকস্থলির এসিড নিঃসরণ নিয়ন্ত্রণ করে?,গ্যাস্ট্রিন
996,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,mitosis
997,কোন hormone রক্তে Na+ এবং K+ এর সমতা রক্ষা করে?,এলডোস্টেরন
998,স্বাভাবিক অবস্থায় হৃদপিন্ডের পেসমেকার কোনটি?,SA node
999,নিচের কোন রক্তকণিকাটি স্মৃতিকোষ?,লিম্ফোসাইট
1000,যকৃতে অবস্থিত ম্যাক্রোফেজকে কি কোষ বলে?,কুফার কোষ
